g0,'-inf,4653.2375,0
g0,4653.2375,6234.6225,1
g0,6234.6225,8347.9838,2
g0,8347.9838,'+inf',3
g1,'-inf,3377.3932,4
g1,3377.3932,4173.9182,5
g1,4173.9182,6251.5568,6
g1,6251.5568,'+inf',7
g2,'-inf,2665.5912,8
g2,2665.5912,3668.5338,9
g2,3668.5338,4887.0575,10
g2,4887.0575,'+inf',11
